"Energy [MeV]","Nb protons [/MeV]"
1.613999999999999879e-01,8.766789730003246223e+04
1.613999999999999879e-01,8.890550463412592944e+04
1.613999999999999879e-01,9.015928984186767775e+04
1.613999999999999879e-01,9.142925292325769260e+04
1.613999999999999879e-01,9.272348281512015092e+04
1.613999999999999879e-01,9.403389058063087577e+04
1.613999999999999879e-01,9.536047621978988172e+04
1.613999999999999879e-01,9.670323973259716877e+04
1.613999999999999879e-01,9.807027005587687017e+04
1.613999999999999879e-01,9.945347825280486722e+04
1.613999999999999879e-01,1.008609532602052786e+05
1.613999999999999879e-01,1.022846061412539711e+05
1.613999999999999879e-01,1.037244368959509447e+05
1.613999999999999879e-01,1.051885344611203327e+05
1.613999999999999879e-01,1.066768988367621496e+05
1.613999999999999879e-01,1.081814410860522330e+05
1.613999999999999879e-01,1.097102501458147599e+05
1.613999999999999879e-01,1.112552370792255533e+05
1.613999999999999879e-01,1.128244908231087611e+05
1.622999999999999998e-01,1.146950064034414681e+05
1.622999999999999998e-01,1.163167102762366849e+05
1.622999999999999998e-01,1.179546311877598491e+05
1.622999999999999998e-01,1.196249861767389229e+05
1.622999999999999998e-01,1.213115582044459443e+05
1.622999999999999998e-01,1.230224557902449014e+05
1.622999999999999998e-01,1.247576789341357799e+05
1.622999999999999998e-01,1.265253361554825533e+05
1.622999999999999998e-01,1.283092104155572888e+05
1.622999999999999998e-01,1.301174102337239601e+05
1.622999999999999998e-01,1.319580441293465265e+05
1.622999999999999998e-01,1.338230035830610141e+05
1.622999999999999998e-01,1.357122885948674520e+05
1.622999999999999998e-01,1.376258991647657822e+05
1.622999999999999998e-01,1.395638352927560627e+05
1.622999999999999998e-01,1.415342054982022673e+05
1.622999999999999998e-01,1.435370097811043379e+05
1.622999999999999998e-01,1.455641396220983588e+05
1.622999999999999998e-01,1.476155950211843010e+05
1.622999999999999998e-01,1.496994844977261673e+05
1.622999999999999998e-01,1.518158080517238996e+05
1.622999999999999998e-01,1.539564571638135822e+05
