"Energy [MeV]","Nb protons [/MeV/sr]"
0.1634,4.2215e6
0.1634,4.2811e6
0.1634,4.3415e6
0.1634,4.4028e6
0.1634,4.465e6
0.1634,4.528e6
0.1634,4.5919e6
0.1634,4.6567e6
0.1634,4.7225e6
0.1634,4.7891e6
0.1634,4.8567e6
0.1634,4.9253e6
0.1634,4.9948e6
0.1634,5.0653e6
0.1634,5.1369e6
0.1634,5.2094e6
0.1634,5.2829e6
0.1634,5.3575e6
0.1634,5.4331e6
0.1634,5.5098e6
0.1634,5.5876e6
0.1634,5.6665e6
0.1634,5.7465e6
0.1634,5.8276e6
0.1634,5.9098e6
0.1634,5.9933e6
0.1634,6.0779e6
0.1634,6.1637e6
0.1634,6.2507e6
0.1634,6.3389e6
0.1634,6.4284e6
0.1634,6.5192e6
0.1634,6.6112e6
0.1634,6.7045e6
0.1634,6.7992e6
0.1634,6.8951e6
0.1644,6.9925e6
0.1644,7.0912e6
0.1655,7.1913e6
0.1655,7.2928e6
0.1655,7.3957e6
0.1655,7.5002e6
0.1655,7.606e6
0.1655,7.7134e6
0.1655,7.8223e6
0.1655,7.9327e6
0.1655,8.0447e6
0.1665,8.1583e6
0.1665,8.2734e6
0.1665,8.3902e6
0.1665,8.5087e6
0.1665,8.6288e6
0.1665,8.7506e6
0.1665,8.8741e6
0.1665,8.9994e6
0.1665,9.1264e6
0.1665,9.2553e6
0.1665,9.3859e6
0.1665,9.5184e6
0.1665,9.6528e6
0.1665,9.789e6
0.1665,9.9272e6
0.1665,1.0067e7
0.1675,1.0209e7
0.1675,1.0354e7
0.1675,1.05e7
0.1675,1.0648e7
0.1675,1.0798e7
0.1675,1.0951e7
0.1675,1.1105e7
0.1675,1.1262e7
0.1675,1.1421e7
0.1675,1.1582e7
0.1675,1.1746e7
0.1675,1.1912e7
0.1675,1.208e7
0.1675,1.225e7
0.1675,1.2423e7
0.1675,1.2599e7
0.1675,1.2776e7
0.1686,1.2957e7
0.1686,1.314e7
0.1686,1.3325e7
0.1686,1.3513e7
0.1686,1.3704e7
0.1686,1.3898e7
0.1686,1.4094e7
0.1686,1.4293e7
0.1686,1.4494e7
0.1686,1.4699e7
0.1686,1.4907e7
0.1686,1.5117e7
0.1686,1.533e7
0.1686,1.5547e7
0.1686,1.5766e7
0.1686,1.5989e7
0.1696,1.6215e7
0.1696,1.6443e7
0.1696,1.6676e7
0.1696,1.6911e7
0.1696,1.715e7
0.1696,1.7392e7
0.1696,1.7637e7
0.1696,1.7886e7
0.1696,1.8139e7
0.1696,1.8395e7
0.1696,1.8654e7
0.1696,1.8918e7
0.1696,1.9185e7
0.1696,1.9456e7
0.1696,1.973e7
0.1696,2.0009e7
0.1696,2.0291e7
0.1707,2.0578e7
0.1707,2.0868e7
0.1707,2.1163e7
0.1707,2.1462e7
0.1707,2.1765e7
0.1707,2.2072e7
0.1707,2.2383e7
0.1707,2.2699e7
0.1707,2.302e7
0.1707,2.3345e7
0.1707,2.3674e7
0.1707,2.4008e7
0.1707,2.4347e7
0.1707,2.4691e7
0.1707,2.504e7
0.1707,2.5393e7
0.1717,2.5752e7
0.1717,2.6115e7
0.1717,2.6484e7
0.1717,2.6858e7
0.1717,2.7237e7
0.1717,2.7621e7
0.1717,2.8011e7
0.1717,2.8407e7
0.1717,2.8808e7
0.1717,2.9214e7
0.1717,2.9627e7
0.1717,3.0045e7
0.1717,3.0469e7
0.1717,3.0899e7
0.1717,3.1335e7
0.1717,3.1778e7
0.1717,3.2226e7
0.1728,3.2681e7
0.1728,3.3143e7
0.1728,3.361e7
0.1728,3.4085e7
0.1728,3.4566e7
0.1728,3.5054e7
0.1728,3.5549e7
0.1728,3.6051e7
0.1728,3.656e7
0.1728,3.7076e7
0.1728,3.7599e7
0.1728,3.813e7
0.1728,3.8668e7
0.1728,3.9214e7
0.1728,3.9768e7
0.1728,4.0329e7
0.1739,4.0898e7
0.1739,4.1476e7
0.1739,4.2061e7
0.1739,4.2655e7
0.1739,4.3257e7
0.1739,4.3868e7
0.1739,4.4487e7
0.1739,4.5115e7
0.1739,4.5752e7
0.1739,4.6398e7
0.1739,4.7053e7
0.1739,4.7717e7
0.1739,4.839e7
0.1739,4.9074e7
0.1739,4.9766e7
0.1739,5.0469e7
0.1739,5.1181e7
0.1739,5.1904e7
0.1739,5.2636e7
0.1739,5.338e7
0.1739,5.4133e7
0.1739,5.4897e7
0.1739,5.5672e7
0.1739,5.6458e7
0.1739,5.7255e7
0.1739,5.8063e7
0.1739,5.8883e7
0.1739,5.9714e7
0.1739,6.0557e7
0.1739,6.1412e7
0.1739,6.2279e7
0.1739,6.3158e7
0.1739,6.405e7
0.1739,6.4954e7
0.1739,6.5871e7
0.1739,6.6801e7
0.1739,6.7744e7
0.1739,6.87e7
0.1739,6.967e7
0.1739,7.0653e7
0.1739,7.1651e7
0.1739,7.2662e7
0.1739,7.3688e7
0.1738,7.4728e7
0.1738,7.5783e7
0.1738,7.6853e7
0.1738,7.7938e7
0.1738,7.9038e7
0.1738,8.0154e7
0.1738,8.1285e7
0.1738,8.2433e7
0.1738,8.3596e7
0.1738,8.4776e7
0.1738,8.5973e7
0.1738,8.7187e7
0.1738,8.8418e7
0.1738,8.9666e7
0.1738,9.0932e7
0.1738,9.2215e7
0.1738,9.3517e7
0.1738,9.4837e7
0.1738,9.6176e7
0.1738,9.7534e7
0.1738,9.891e7
0.1738,1.0031e8
0.1738,1.0172e8
0.1738,1.0316e8
0.1738,1.0461e8
0.1738,1.0609e8
0.1738,1.0759e8
0.1738,1.0911e8
0.1738,1.1065e8
0.1738,1.1221e8
0.1738,1.1379e8
0.1738,1.154e8
0.1738,1.1703e8
0.1738,1.1868e8
0.1738,1.2036e8
0.1738,1.2206e8
